id_orden_municip,id_nodo_prbd,nomenclatura_redgto,nombre_nodo,tipo_nodo,ip_nodo,rango_nodo,clave,fecha_operacion_nodo,id_comunidad,comunidad,id_comunidad_inegi,id_municipio,municipio,longitud,latitud,clave_nodo,direccion,codigo_postal
132,100,REDGTO-LEO-MO-00100,Escuela Primaria Tierra y Libertad,Escolar,10.1.200.8,0192.8.1,NE-LEO-110200382-01,2017,4861,Los Naranjos,110200382,1020,Leon,21.1692791,-101.6267014,11DPR2326V,"Calle Laurel 106, La Cruz, 37207 León, GUA, México",37207
133,101,REDGTO-LEO-MO-00101,Escuela Primaria Melchor Ocampo (La Mora),Escolar,10.1.200.16,192.200.16,NE-LEO-110200379-01,2017,4859,La Mora,110200379,1020,Leon,21.0661201,-101.7632294,11DPR1543C,"Ecobulevar León - San Francisco, La Mora, 37664 León, GUA, México",37664
134,102,REDGTO-LEO-MO-00102,Escuela Primaria Insurgentes,Escolar,10.1.200.10,192.200.10,NE-LEO-110200263-01,2017,4805,Alfaro,110200263,1020,Leon,21.1486893,-101.6081009,11DPR3601Q,"Calle S/Nom, La Capilla, 37233 Alfaro, GUA, México",37233
225,103,REDGTO-SMA-MO-00103,Escuela Primaria Justo Sierra,Escolar,10.0.203.8,192.203.8,NE-SMA-110030006-01,2017,642,Agustín González,110030006,1003,San Miguel de Allende,20.8592205,-100.8531036,11DPR1984Z,"Calle S/Nom, Agustin Gonzalez, 37898, GUA, México",37898
226,104,REDGTO-SMA-MO-00104,Telesecundaria No. 546,Escolar,10.0.203.10,192.203.10,NE-SMA-110030006-02,2017,642,Agustín González,110030006,1003,San Miguel de Allende,20.8580704,-100.8527908,11ETV0368E,"Calle Hidalgo, Agustin Gonzalez, 37898, GUA, México",37898
260,105,REDGTO-JVR-MO-00105,Escuela Primaria General Lázaro Cárdenas,Escolar,10.0.205.8,192.168.8,NE-JVR-110350081-01,2017,9307,La Trinidad,110350081,1035,Santa Cruz de Juventino Rosas,20.5727806,-101.0633316,11DPR0322L,"Privada 5 de Mayo, 36884, GUA, México",36884
261,106,REDGTO-JVR-MO-00106,Escuela Primaria Francisco Villa,Escolar,10.0.205.10,192.168.10,NE-JVR-110350066-01,2017,9296,San Julián Tierra Blanca,110350066,1035,Santa Cruz de Juventino Rosas,20.5955601,-101.0433273,11DPR0724F,"Calle Luis Echeverría Álvarez, San Julian Tierra Blanca, 38255, GUA, México",38255
262,107,REDGTO-JVR-MO-00107,Escuela Primaria Emiliano Zapata (Emiliano Zapata),Escolar,10.0.205.13,192.205.14,NE-JVR-110350014-01,2017,9253,Emiliano Zapata,110350014,1035,Santa Cruz de Juventino Rosas,20.6195690,-101.0427470,11DPR0917U,"Privada Santos Degollado, Emiliano Zapata, 38254, GUA, México",38254
158,108,REDGTO-PNV-MO-00108,Telesecundaria No. 926,Escolar,10.0.201.2,192.201.2,NE-PNV-110240009-01,2017,6294,Congregación de Panales,110240009,1024,Pueblo Nuevo,20.5631409,-101.3347168,11ETV0926Z,"Calle Solidaridad 1, Panales, 36897, GUA, México",36897
263,109,REDGTO-JVR-MO-00109,Escuela Primaria Juventino Rosas,Escolar,10.0.205.12,192.205.12,NE-JVR-110350027-01,2017,9263,Jaralillo,110350027,1035,Santa Cruz de Juventino Rosas,20.6653580,-100.9768220,11DPR2476B,"Calle Juventino Rosas 106, Jaralillo 1, 38250 Juventino Rosas, GUA, México",38250
